post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47625952,Show HN: I built a frontpage for personal blogs,entertainment,429,131,ramkarthikk,2026-04-03 20:57:59,0.30465116279069765,True
47618223,We replaced RAG with a virtual filesystem for our AI documentation assistant,technology,17,5,denssumesh,2026-04-03 20:58:02,0.2777777777777778,False
47562325,Understanding young news audiences at a time of rapid change,technology,15,1,giuliomagnifico,2026-04-03 20:58:03,0.0625,False
47562135,Show HN: TurboQuant for vector search – 2-4 bit compression,entertainment,32,2,justsomeguy1996,2026-04-03 20:58:05,0.06060606060606061,False
47629505,Solana Drift Protocol drained of $285M via fake token and governance hijack,technology,8,0,anonhaven,2026-04-03 20:58:07,0.0,False
47624645,Show HN: Apfel – The free AI already on your Mac,technology,544,122,franze,2026-04-03 20:58:12,0.22385321100917432,True
47622616,The Technocracy Movement of the 1930s,technology,14,3,lazydogbrownfox,2026-04-03 20:58:14,0.2,False
47561426,What Category Theory Teaches Us About DataFrames,technology,138,42,mchav,2026-04-03 20:58:15,0.302158273381295,False
47579818,What we learned building 100 API integrations with OpenCode,technology,69,15,rguldener,2026-04-03 20:58:24,0.21428571428571427,False
47573728,Intel Assured Supply Chain Product Brief,technology,42,9,aw-engineer,2026-04-03 20:58:27,0.20930232558139536,False
47618189,Tailscale's new macOS home,technology,530,277,tosh,2026-04-03 20:58:28,0.5216572504708098,True
47625244,Critics say EU risks ceding control of its tech laws under U.S. pressure,technology,186,112,nickslaughter02,2026-04-03 20:59:32,0.5989304812834224,True
47625311,Bun: cgroup-aware AvailableParallelism / HardwareConcurrency on Linux,technology,35,12,tosh,2026-04-03 21:00:34,0.3333333333333333,False
47562455,The True Shape of Io's Steeple Mountain,technology,101,2,carlosjobim,2026-04-03 21:00:35,0.0196078431372549,False
47617415,Good ideas do not need lots of lies in order to gain public acceptance (2008),technology,334,175,sedev,2026-04-03 21:00:36,0.5223880597014925,True
47629608,Tech Companies Are Trying to Neuter Colorado's Landmark Right-to-Repair Law,technology,7,1,liz_ifixit,2026-04-03 21:00:38,0.125,False
47624317,New Rowhammer attacks give complete control of machines running Nvidia GPUs,technology,118,6,01-_-,2026-04-03 21:01:46,0.05042016806722689,False
47617376,OpenAI Acquires TBPN,technology,230,188,surprisetalk,2026-04-03 21:01:49,0.8138528138528138,True
47615490,Artemis computer running two instances of MS outlook; they can't figure out why,technology,462,351,mooreds,2026-04-03 21:01:52,0.7580993520518359,True
47612724,Lemonade by AMD: a fast and open source local LLM server using GPU and NPU,technology,539,111,AbuAssar,2026-04-03 21:01:53,0.20555555555555555,True
47615002,Qwen3.6-Plus: Towards real world agents,worldnews,569,197,pretext,2026-04-03 21:01:55,0.3456140350877193,True
47621438,Show HN: Made a little Artemis II tracker,entertainment,135,52,codingmoh,2026-04-03 21:01:56,0.38235294117647056,False
47620933,Memo: A language that remembers only the last 12 lines of code,technology,55,34,notem,2026-04-03 21:02:00,0.6071428571428571,False
47623101,A Rave Review of Superpowers (For Claude Code),technology,39,22,emschwartz,2026-04-03 21:02:05,0.55,False
47596739,Mercor says it was hit by cyberattack tied to compromise LiteLLM,technology,146,45,jackson-mcd,2026-04-03 21:02:09,0.30612244897959184,False
47609564,Steam on Linux Use Skyrocketed Above 5% in March,sports,756,357,hkmaxpro,2026-04-03 21:02:15,0.4715984147952444,True
47560959,Show HN: Home Maker: Declare Your Dev Tools in a Makefile,entertainment,87,58,sthottingal,2026-04-03 21:02:16,0.6590909090909091,False
47625385,"H.264 Streaming Fees: What Changed, Who's Affected, and What It Means",entertainment,67,38,phantomathkg,2026-04-03 21:02:19,0.5588235294117647,False
47615756,Renewables reached nearly 50% of global electricity capacity last year,worldnews,285,140,Growtika,2026-04-03 21:02:21,0.48951048951048953,True
47611921,Significant raise of reports,technology,301,153,stratos123,2026-04-03 21:02:22,0.5066225165562914,True
47624879,Switzerland hosts 'CERN of semiconductor research',science,30,6,teleforce,2026-04-03 21:02:24,0.1935483870967742,False
47625860,Ubuntu now has higher system hardware requirements than Windows 11,worldnews,18,6,bundie,2026-04-03 21:02:29,0.3157894736842105,False
47626347,F-15E Wreckage Photos Amid Iranian Claims It Shot Down an American Fighter,technology,34,17,uticus,2026-04-03 21:02:31,0.4857142857142857,False
47623053,"Show HN: Minimal Brain Teaser Web Game (Handcrafted, No AI)",technology,17,6,arttaboi,2026-04-03 21:02:33,0.3333333333333333,False
47615844,Show HN: A P2P messenger with dual network modes (Fast and Tor),entertainment,35,21,Realman78,2026-04-03 21:02:41,0.5833333333333334,False
47606560,"Show HN: Dull – Instagram Without Reels, YouTube Without Shorts (iOS)",entertainment,145,111,kasparnoor,2026-04-03 21:02:45,0.7602739726027398,False
47612601,"Sweden goes back to basics, swapping screens for books in the classroom",entertainment,882,423,novaRom,2026-04-03 21:02:50,0.47904869762174407,True
47612321,Show HN: I built a DNS resolver from scratch in Rust – no DNS libraries,entertainment,104,63,rdme,2026-04-03 21:04:00,0.6,False
47618221,The Australian government has announced gambling advertising reforms,worldnews,129,95,gostsamo,2026-04-03 21:04:03,0.7307692307692307,False
47604155,SpaceX files to go public,science,392,571,nutjob2,2026-04-03 21:04:04,1.4529262086513994,True
47612277,Almighty Lisp: Lisp and Emacs Essentials Book,entertainment,66,4,nemoniac,2026-04-03 21:04:05,0.05970149253731343,False
47618247,Show HN: SyNumpy – a Header only C++17 library for working with NumPy Arrays,entertainment,19,3,symisc_devel,2026-04-03 21:04:06,0.15,False
47626598,Show HN: ctx – an Agentic Development Environment (ADE),entertainment,37,51,luca-ctx,2026-04-03 21:05:16,1.3421052631578947,False
47557921,Show HN: Git bayesect – Bayesian Git bisection for non-deterministic bugs,entertainment,334,44,hauntsaninja,2026-04-03 21:05:31,0.13134328358208955,True
47589856,Show HN: Postgres extension for BM25 relevance-ranked full-text search,entertainment,200,56,tjgreen,2026-04-03 21:05:58,0.27860696517412936,True
47574871,"Show HN: Zerobox – Sandbox any command with file, network, credential controls",entertainment,139,92,afshinmeh,2026-04-03 21:06:03,0.6571428571428571,False
47607394,SolveSpace (open source 2D/3D CAD) working on Windows 2000 (2025),science,39,6,ruevs,2026-04-03 21:06:08,0.15,False
